CustServCalls,RoamMins,Recommendations,DataUsage,MonthlyCharge,Churn_Probability,Churn_Signals,AccountWeeks,DayCalls
2,11.9,No action needed,0.2,45.0,0.0163895343075688,None detected,57,100
1,7.8,No action needed,0.0,39.0,0.0149115450490181,None detected,82,116
1,9.2,No action needed,0.0,55.0,0.0361633346538323,None detected,64,111
2,12.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.43,97.3,0.0313292595741103,high_cost: High charges in MonthlyCharge,86,122
0,13.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.62,85.2,0.0353986517510569,high_cost: High charges in MonthlyCharge,151,98
3,11.5,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,64.0,0.8890334924131759,high_churn_probability: Model predicts high likelihood of churn,94,105
2,8.0,No action needed,0.0,61.0,0.0700797955417667,None detected,90,121
2,7.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,63.0,0.4876984126984127,low_tenure: New or short-tenure customer,48,94
2,9.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.57,76.7,0.0296726172070963,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,85,123
1,12.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.27,79.7,0.0440110976418742,high_cost: High charges in MonthlyCharge,93,110
3,6.5,No action needed,0.0,27.0,0.2603559973189785,None detected,169,98
5,11.0,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.0,41.0,0.9465518584688264,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,68,86
2,16.7,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,40.0,0.929486365055043,high_churn_probability: Model predicts high likelihood of churn,91,89
1,11.4,No action needed,0.0,48.0,0.0236410849452731,None detected,68,123
1,8.8,No action needed,0.0,51.0,0.0259132120244659,None detected,101,72
1,9.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.54,81.4,0.0912064888656425,high_cost: High charges in MonthlyCharge,67,40
0,11.5,No action needed,0.0,30.0,0.0225876078107699,None detected,66,133
5,11.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.08,84.8,0.0701961004018212,high_cost: High charges in MonthlyCharge,116,112
1,10.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,49.0,0.0092477022754418,low_tenure: New or short-tenure customer,158,126
1,9.1,No action needed,0.0,54.0,0.0204228040744213,None detected,78,122
1,6.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,1.78,66.8,0.0102078128178443,high_cost: High charges in MonthlyCharge,119,97
1,6.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.3,39.0,0.0081255252296707,low_tenure: New or short-tenure customer,120,85
1,7.8,No action needed,0.34,52.4,0.0120613689900076,None detected,155,102
1,8.7,No action needed,0.0,61.0,0.074714519062728,None detected,106,120
1,11.0,No action needed,0.0,46.0,0.1789661442761421,None detected,87,119
3,8.2,No action needed,2.21,64.1,0.0128651118930034,None detected,146,80
0,10.1,No action needed,2.73,64.3,0.0262012405915176,None detected,101,116
3,12.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.43,79.3,0.0121615255153332,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,22,94
2,11.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,31.0,0.027747900487732,low_tenure: New or short-tenure customer,90,88
1,9.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.34,50.4,0.0127635001426482,low_tenure: New or short-tenure customer,41,105
2,11.4,No action needed,0.0,50.0,0.0143426353880031,None detected,69,76
2,9.8,No action needed,0.0,57.0,0.015419204996178,None detected,33,88
1,13.1,No action needed,0.0,41.0,0.0234711275593766,None detected,112,108
2,9.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.65,92.5,0.0197481506464771,high_cost: High charges in MonthlyCharge,108,99
2,9.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.57,71.7,0.02092290390262,high_cost: High charges in MonthlyCharge,136,88
1,10.1,No action needed,0.0,55.0,0.0252987147169978,None detected,128,84
2,8.4,No action needed,0.0,54.0,0.0241564064089453,None detected,27,128
1,1.3,No action needed,0.0,55.0,0.26894828448288,None detected,161,78
0,15.0,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,4.05,94.5,0.0237955971536201,high_cost: High charges in MonthlyCharge,33,124
0,11.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.08,75.8,0.0176857867266808,high_cost: High charges in MonthlyCharge,120,83
2,8.7,No action needed,0.0,50.0,0.0159333221201434,None detected,113,97
0,11.0,No action needed,0.0,60.0,0.6111331239885068,None detected,122,132
2,15.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,4.1,93.0,0.0711665998692952,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,148,150
3,9.7,No action needed,0.0,59.0,0.0441338309495147,None detected,74,93
1,11.0,No action needed,0.26,56.6,0.0141151911178122,None detected,106,104
1,13.3,No action needed,0.0,46.0,0.033985078323589,None detected,179,54
5,8.8,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach,2.38,59.8,0.8059166666666665,high_churn_probability: Model predicts high likelihood of churn,149,97
0,9.2,No action needed,0.0,50.0,0.0175652699789111,None detected,77,112
1,7.7,No action needed,0.0,45.0,0.2119339471048807,None detected,127,110
1,10.6,No action needed,0.0,45.0,0.0206375476856022,None detected,80,99
1,10.7,No action needed,0.0,46.0,0.0167615136293308,None detected,106,107
0,10.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.84,85.4,0.0329959604637437,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,61,133
2,5.8,No action needed,1.57,55.7,0.1984994493785407,None detected,135,54
6,13.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.67,84.7,0.1602419278098644,high_cost: High charges in MonthlyCharge,115,107
2,10.1,No action needed,0.0,58.0,0.1552383354929202,None detected,167,100
2,11.0,No action needed,0.0,63.0,0.3619605142277728,None detected,107,104
1,10.7,No action needed,0.0,45.0,0.1582113744424597,None detected,112,138
1,9.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.54,79.4,0.0128147920867667,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,35,87
3,9.4,No action needed,0.38,29.8,0.3117466611181796,None detected,103,124
1,11.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.02,90.2,0.0019320723248159,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,107,83
3,10.7,No action needed,0.0,62.0,0.3979018622196571,None detected,69,70
0,11.3,No action needed,0.0,53.0,0.0314199817438051,None detected,85,82
2,11.1,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,63.0,0.8643756033927384,high_churn_probability: Model predicts high likelihood of churn,24,86
2,11.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,47.0,0.017799701983512,low_tenure: New or short-tenure customer,90,97
3,10.5,No action needed,0.0,38.0,0.018277457066276,None detected,137,79
0,7.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.03,85.3,0.0957237493689106,high_cost: High charges in MonthlyCharge,92,88
2,14.1,No action needed,0.0,48.0,0.0167191758293076,None detected,38,86
1,8.2,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.21,90.1,0.0654209845549518,high_cost: High charges in MonthlyCharge,69,98
2,9.0,No action needed,0.0,38.0,0.0314597547378157,None detected,45,108
1,15.1,No action needed,0.0,53.0,0.0200005658204337,None detected,73,118
1,10.8,No action needed,0.0,57.0,0.0160721579908756,None detected,92,84
1,8.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.27,64.7,0.0123496124211121,low_tenure: New or short-tenure customer,113,89
1,14.5,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,44.0,0.8810376499684297,high_churn_probability: Model predicts high likelihood of churn,68,126
2,14.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.94,95.4,0.0332523660866269,high_cost: High charges in MonthlyCharge,135,113
1,15.9,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,4.29,80.9,0.0077765784244476,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,100,115
1,11.3,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.05,94.5,0.0171661564760972,high_cost: High charges in MonthlyCharge,96,96
1,9.4,No action needed,0.0,60.0,0.0440456732099617,None detected,108,102
0,6.5,No action needed,0.0,60.0,0.0339798463482389,None detected,84,88
1,12.6,No action needed,0.35,60.5,0.0342961429975428,None detected,134,86
0,9.8,No action needed,0.0,62.0,0.4016211894950149,None detected,72,73
0,6.8,No action needed,0.0,52.0,0.0273397969318602,None detected,83,87
0,10.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,43.0,0.024914964542519,low_tenure: New or short-tenure customer,137,120
1,12.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.27,69.7,0.0283718475565988,high_cost: High charges in MonthlyCharge,56,89
0,11.3,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.05,76.5,0.1789011164182275,high_cost: High charges in MonthlyCharge,61,76
1,5.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,1.57,68.7,0.0200359151016494,high_cost: High charges in MonthlyCharge,171,94
1,12.1,No action needed,0.0,54.0,0.0158587097977634,None detected,123,118
0,9.9,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.19,50.9,0.0422598571806551,low_tenure: New or short-tenure customer,58,89
1,13.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,30.0,0.0168544939038221,low_tenure: New or short-tenure customer,156,96
0,15.3,No action needed,0.0,54.0,0.0331581393803331,None detected,166,103
1,12.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.35,73.5,0.0182015375288576,high_cost: High charges in MonthlyCharge,75,115
2,5.7,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,68.0,0.9519999999999998,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,75,102
1,12.1,No action needed,0.0,57.0,0.0815543136523695,None detected,83,78
2,6.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,31.0,0.0336338309818724,low_tenure: New or short-tenure customer,243,92
1,15.1,No action needed,0.0,50.0,0.0215798162377474,None detected,153,127
1,13.1,No action needed,0.26,45.6,0.0541449957079141,None detected,150,133
2,12.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.43,72.3,0.0129792581844325,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,92,99
0,13.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,22.0,0.0215843524306941,low_tenure: New or short-tenure customer,80,110
1,11.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.31,47.1,0.0062630200779736,low_tenure: New or short-tenure customer,134,110
1,10.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.73,63.3,0.043986787615496,low_tenure: New or short-tenure customer,77,74
2,11.3,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,47.0,0.0161223837455762,low_tenure: New or short-tenure customer,147,104
1,11.6,No action needed,0.0,48.0,0.0183020650377386,None detected,74,105
1,9.4,No action needed,0.0,48.0,0.1508669742773512,None detected,138,82
0,12.2,No action needed,0.42,49.2,0.0158370554959887,None detected,143,117
2,5.5,No action needed,0.0,48.0,0.0261096649233788,None detected,64,147
2,9.9,No action needed,0.0,54.0,0.0237175153972246,None detected,120,56
3,13.4,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.0,37.0,0.7574525671595593,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,121,94
2,11.8,No action needed,0.0,53.0,0.0123799393133806,None detected,88,86
2,9.4,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,73.0,0.9988333333333332,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,87,106
0,10.2,No action needed,0.3,59.0,0.0360554809323423,None detected,100,107
3,9.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,23.0,0.0246604588165181,low_tenure: New or short-tenure customer,104,116
1,9.9,No action needed,0.0,31.0,0.0315925067247457,None detected,27,75
0,9.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.62,81.2,0.0275466274966649,high_cost: High charges in MonthlyCharge,81,100
0,8.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.19,57.9,0.153580307302035,low_tenure: New or short-tenure customer,64,93
1,11.9,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.21,93.1,0.0152792915887377,high_cost: High charges in MonthlyCharge,107,79
1,16.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,4.35,100.5,0.0428446651483669,high_cost: High charges in MonthlyCharge,88,78
3,9.0,No action needed,0.0,40.0,0.0218921517825329,None detected,111,112
5,10.3,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,54.0,0.0577779852765827,low_tenure: New or short-tenure customer,77,114
2,11.4,No action needed,0.0,41.0,0.1619934514366749,None detected,67,58
1,15.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,50.0,0.0206993561434176,low_tenure: New or short-tenure customer,102,81
1,14.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.94,83.4,0.0158683483741066,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,146,88
1,10.0,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.7,92.0,0.0080420538015094,high_cost: High charges in MonthlyCharge,144,98
1,10.3,No action needed,0.0,47.0,0.0127107145036567,None detected,96,92
1,10.3,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.78,66.8,0.0124045001958547,high_cost: High charges in MonthlyCharge,70,101
0,9.1,No action needed,0.0,57.0,0.1169685704138661,None detected,149,79
2,9.2,No action needed,0.0,57.0,0.0162441098266062,None detected,129,91
0,10.9,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,52.0,0.0470956824822559,low_tenure: New or short-tenure customer,166,110
3,11.0,No action needed,0.0,52.0,0.2412372224691061,None detected,136,89
3,9.6,No action needed,0.0,61.0,0.0667815416267945,None detected,149,91
3,7.6,No action needed,0.0,43.0,0.0273316864840047,None detected,70,96
2,9.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.62,85.2,0.0145190648836852,high_cost: High charges in MonthlyCharge,120,73
2,6.2,No action needed,0.0,59.0,0.024309691159462,None detected,66,135
1,12.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.27,44.7,0.0164517310229827,low_tenure: New or short-tenure customer,104,133
1,9.2,No action needed,0.0,47.0,0.0131813599229844,None detected,160,90
1,11.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.16,80.6,0.0097172719422137,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,129,94
3,11.3,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,65.0,0.980909192085054,high_churn_probability: Model predicts high likelihood of churn,93,114
2,9.9,No action needed,0.0,46.0,0.0104129593227007,None detected,169,111
1,14.9,No action needed,0.0,43.0,0.0529838435254105,None detected,58,145
3,13.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.54,76.4,0.015641193145791,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,75,132
1,12.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,49.0,0.0150922490309481,low_tenure: New or short-tenure customer,45,71
3,8.9,No action needed,0.0,44.0,0.0194343150270655,None detected,155,108
4,9.9,No action needed,0.0,51.0,0.0232691107812119,None detected,52,114
0,11.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.0,91.0,0.0301462611228517,high_cost: High charges in MonthlyCharge,119,128
1,8.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,38.0,0.0106512577687097,low_tenure: New or short-tenure customer,86,72
0,4.0,No action needed,0.0,54.0,0.0153697647260208,None detected,42,89
2,7.4,No action needed,0.26,51.6,0.0672034881949092,None detected,127,114
0,14.9,No action needed,0.0,40.0,0.0663173233254355,None detected,123,150
4,11.1,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,63.0,0.8767830687830687,high_churn_probability: Model predicts high likelihood of churn,98,119
1,10.9,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.94,79.4,0.0117794308520654,high_cost: High charges in MonthlyCharge,149,79
1,9.3,No action needed,0.18,50.8,0.0228595411957103,None detected,160,109
5,10.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,47.0,0.2280954875455931,low_tenure: New or short-tenure customer,103,107
1,9.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.46,72.6,0.0722197908664639,high_cost: High charges in MonthlyCharge,132,128
1,7.5,No action needed,0.0,50.0,0.0198402988411892,None detected,137,107
1,5.9,No action needed,0.0,63.0,0.3127286985700456,None detected,129,78
1,0.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,62.0,0.385224181343405,low_tenure: New or short-tenure customer,62,66
4,11.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.19,96.9,0.0571817052007362,high_cost: High charges in MonthlyCharge,122,96
1,10.2,No action needed,0.0,45.0,0.0174029795977951,None detected,32,82
3,6.7,No action needed,0.0,39.0,0.0150718093765257,None detected,86,82
1,7.2,No action needed,0.35,56.5,0.0247178587368082,None detected,130,113
1,8.0,No action needed,0.0,47.0,0.0159426421538419,None detected,42,84
2,15.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,56.0,0.034644224987933,low_tenure: New or short-tenure customer,73,85
2,5.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,1.46,78.6,0.2480196347791339,high_cost: High charges in MonthlyCharge,66,108
0,8.9,No action needed,2.4,59.0,0.0521373703970039,None detected,103,124
1,7.6,No action needed,0.0,50.0,0.0135775564784237,None detected,128,75
2,5.5,No action needed,0.23,54.3,0.017785626920335,None detected,104,113
0,12.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,38.0,0.0159312641929969,low_tenure: New or short-tenure customer,103,112
0,12.0,No action needed,0.0,51.0,0.0159975957089008,None detected,124,72
1,6.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,33.0,0.0132725701408229,low_tenure: New or short-tenure customer,87,91
1,12.3,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.32,81.2,0.1978782809458275,high_cost: High charges in MonthlyCharge,109,85
2,10.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,47.0,0.1258407677814421,low_tenure: New or short-tenure customer,167,91
4,11.9,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,35.0,0.9511698453644576,high_churn_probability: Model predicts high likelihood of churn,97,96
2,8.5,No action needed,0.25,48.5,0.0167059018246091,None detected,106,118
2,14.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,35.0,0.01995123538998,low_tenure: New or short-tenure customer,125,113
0,15.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,4.19,95.9,0.0100822649463108,high_cost: High charges in MonthlyCharge,108,106
1,8.0,No action needed,0.3,45.0,0.0380307706442858,None detected,125,132
1,8.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.35,80.5,0.0088240154925451,high_cost: High charges in MonthlyCharge,89,113
0,5.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,1.49,50.9,0.1901386814987831,low_tenure: New or short-tenure customer,72,114
2,11.3,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,77.0,0.9988333333333332,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,23,107
7,8.2,No action needed,0.0,47.0,0.2471653358274405,None detected,149,61
0,5.9,No action needed,0.0,54.0,0.0286722782589045,None detected,73,90
1,9.0,No action needed,0.0,63.0,0.6483408299408571,None detected,61,123
4,13.4,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.16,40.6,0.8593587814431697,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,161,113
0,13.5,No action needed,0.0,53.0,0.0376343621419521,None detected,73,95
1,16.9,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,4.56,75.6,0.0548355644601188,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,118,83
6,15.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,47.0,0.2346827339977669,low_tenure: New or short-tenure customer,23,89
0,5.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,1.38,41.8,0.0133706027198588,low_tenure: New or short-tenure customer,127,95
0,8.1,No action needed,2.19,64.9,0.0237678887160239,None detected,42,80
5,14.4,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,73.0,0.843,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,118,145
2,10.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,38.0,0.01070222881046,low_tenure: New or short-tenure customer,45,91
1,10.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.86,90.6,0.021658269674683,high_cost: High charges in MonthlyCharge,50,129
0,10.5,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,74.0,0.9857380952380952,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,179,123
2,7.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.22,32.2,0.0129109463452026,low_tenure: New or short-tenure customer,152,122
2,13.2,No action needed,0.0,42.0,0.0275797716466431,None detected,105,74
0,8.3,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,29.0,0.0213889314814887,low_tenure: New or short-tenure customer,72,97
1,5.2,No action needed,0.0,56.0,0.0131642124624214,None detected,52,67
1,11.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,46.0,0.0189868896898354,low_tenure: New or short-tenure customer,125,110
1,9.2,No action needed,0.29,36.9,0.06605620505796,None detected,143,113
1,4.4,No action needed,0.0,38.0,0.0161185221049645,None detected,65,51
1,9.3,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,53.0,0.0202588813770208,low_tenure: New or short-tenure customer,80,121
1,13.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,35.0,0.0253287040404683,low_tenure: New or short-tenure customer,1,107
1,7.9,No action needed,0.0,41.0,0.0425243041565597,None detected,60,134
1,10.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,22.0,0.0265773297616074,low_tenure: New or short-tenure customer,43,134
0,14.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,45.0,0.0130496006063849,low_tenure: New or short-tenure customer,143,127
0,11.4,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.08,69.8,0.0200453698606823,high_cost: High charges in MonthlyCharge,81,117
2,7.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.11,65.1,0.0392063026973856,low_tenure: New or short-tenure customer,205,139
1,6.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,54.0,0.0149039376325489,low_tenure: New or short-tenure customer,24,104
0,9.8,No action needed,0.0,43.0,0.0243788474963053,None detected,74,106
1,12.0,No action needed,0.0,29.0,0.0253845430140426,None detected,77,68
1,10.0,No action needed,0.0,61.0,0.0569081825688726,None detected,74,87
1,14.1,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,40.0,0.9257796900765408,high_churn_probability: Model predicts high likelihood of churn,74,103
1,11.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,34.0,0.0129838377786635,low_tenure: New or short-tenure customer,200,87
4,13.0,No action needed,0.0,58.0,0.0354424111062571,None detected,86,88
0,9.2,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.48,72.8,0.0091336462104673,high_cost: High charges in MonthlyCharge,91,107
