customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2474-BRUCM,Male,0,No,Yes,48,Yes,No,No,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),118.75,5700.0,No
4486-EFAEB,Male,0,Yes,No,40,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,83.25,3330.0,No
3961-SXAXY,Female,0,Yes,No,1,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.11,92.11,Yes
1064-FBXNK,Female,0,No,Yes,35,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),45.16,1580.6,No
8017-UVSZU,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),27.96,251.64,No
8966-OIQHG,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,46.59,3354.48,Yes
1760-CAZHT,Male,0,Yes,No,19,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,No,One year,No,Bank transfer (automatic),107.5,2042.5,No
6171-ZTVYB,Male,0,No,No,48,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,118.75,5700.0,No
9419-IPPBE,Male,0,No,No,0,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,40.51,0.0,No
1661-CZBAU,Male,0,No,No,3,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.76,182.28,Yes
2692-AQCPF,Female,0,No,No,19,Yes,Yes,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,18.25,346.75,No
2371-KFUOG,Female,0,Yes,No,49,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),103.8,5086.2,No
7138-GIRSH,Male,0,Yes,Yes,45,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,26.93,1211.85,No
9313-CDOGY,Male,0,No,Yes,39,Yes,No,No,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,91.89,3583.71,No
1506-YJTYT,Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.7,0.0,No
1062-LHZOD,Female,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),24.75,1485.0,Yes
4397-FRLTA,Male,0,No,Yes,9,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,38.59,347.31,No
6996-KNSML,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,86.59,6234.48,No
2085-BOJKI,Male,0,No,Yes,72,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),106.14,7642.08,No
4918-QLLIW,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,49.04,2550.08,No
9746-MDMBK,Female,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.33,1866.48,Yes
0685-MLYYM,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.29,75.29,No
9823-EALYC,Female,0,No,No,72,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,No,Electronic check,103.08,7421.76,No
5271-DBYSJ,Male,0,Yes,Yes,37,No,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.48,1164.76,No
6103-QCKFX,Female,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.05,2298.8,No
9127-FHJBZ,Female,0,No,Yes,11,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,99.9,1098.9,No
9614-RMGHA,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),70.88,2126.4,Yes
1660-HSOOQ,Male,0,Yes,No,3,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),39.95,119.85,No
8966-SNIZF,Female,0,Yes,No,26,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,One year,No,Credit card (automatic),64.88,1686.88,Yes
1934-MKPXS,Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.24,2535.68,No
2606-PKWJB,Female,0,Yes,No,38,Yes,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,95.74,3638.12,Yes
5520-FVEWJ,Male,0,No,Yes,66,No,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,73.69,4863.54,No
6815-ABQFQ,Male,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),64.37,2832.28,Yes
9802-CAQUT,Female,0,No,No,38,No,No,No,No,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),18.25,693.5,Yes
3733-LSYCE,Male,0,No,Yes,33,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,81.02,2673.66,Yes
1977-STDKI,Female,0,No,No,72,Yes,No,DSL,No internet service,No,No,No,No,Yes,One year,Yes,Electronic check,80.2,5774.4,No
7100-FQPRV,Male,0,No,No,18,Yes,No,DSL,No internet service,Yes,No,No,No,No internet service,One year,Yes,Credit card (automatic),70.93,1276.74,No
3442-ZHHCC,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,65.32,3984.52,No
3577-AMVUX,Male,0,No,No,0,Yes,No,DSL,No,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,68.43,0.0,No
5154-VEKBL,Male,0,No,Yes,10,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,93.53,935.3,No
7245-NIIWQ,Male,0,Yes,No,42,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),53.51,2247.42,No
1051-EQPZR,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),28.28,791.84,No
9496-IVVRP,Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.88,6615.36,No
4836-WNFNO,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,No,Electronic check,53.29,3836.88,Yes
8652-YHIYU,Female,0,No,Yes,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,56.16,0.0,No
8231-BSWXX,Female,0,No,No,6,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,77.66,465.96,Yes
1642-HMARX,Female,0,No,Yes,28,No,No,DSL,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Electronic check,57.03,1596.84,No
0742-MOABM,Female,0,No,Yes,72,Yes,No,DSL,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,62.55,4503.6,No
7244-KXYZN,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),30.91,1854.6,No
6195-MELTI,Male,0,Yes,Yes,40,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,103.99,4159.6,No
7435-ZNUYY,Female,0,Yes,Yes,0,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,24.23,0.0,No
9780-FKVVF,Male,0,Yes,No,11,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),104.35,1147.85,No
3164-AALRN,Male,0,No,Yes,0,Yes,No,No,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),26.43,0.0,No
2983-ZANRP,Female,0,No,Yes,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),43.13,0.0,No
9891-NQDBD,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),51.85,2177.7,No
3387-PLKUI,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,91.0,4641.0,No
2027-OAQQC,Female,0,Yes,No,0,Yes,No,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,70.58,0.0,No
8190-ZTQFB,Female,0,Yes,No,35,Yes,No,No,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,50.62,1771.7,Yes
2749-CTKAJ,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,26.92,1938.24,No
1474-JUWSM,Male,0,No,No,36,Yes,No,No,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,94.62,3406.32,No
5804-LEPIM,Female,0,No,No,24,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),65.52,1572.48,No
4628-CTTLA,Male,0,Yes,No,47,No,No,No,No,No,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),77.14,3625.58,No
1866-ZSLJM,Male,0,No,No,45,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),58.84,2647.8,Yes
7225-CBZPL,Female,0,Yes,No,34,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,49.31,1676.54,No
0840-DFEZH,Male,0,No,No,19,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),84.51,1605.69,No
0404-AHASP,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),73.41,1615.02,No
1260-TTRXI,Male,0,Yes,No,34,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,98.92,3363.28,Yes
1430-SFQSA,Female,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,70.44,1338.36,No
8098-LLAZX,Male,0,Yes,Yes,65,Yes,Yes,No,No,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),21.95,1426.75,No
4450-YOOHP,Female,0,Yes,Yes,54,Yes,No,DSL,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),87.66,4733.64,No
7968-QUXNS,Female,0,Yes,No,59,No,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),66.12,3901.08,No
1470-PSXNM,Female,0,Yes,No,72,Yes,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),57.58,4145.76,No
4021-RQSNY,Female,0,Yes,No,71,Yes,No,No,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),18.25,1295.75,Yes
0426-TIRNE,Male,0,Yes,Yes,67,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),38.54,2582.18,Yes
2626-URJFX,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.59,2853.19,No
6152-ONASV,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.63,1232.01,Yes
8946-BFWSG,Female,0,No,No,72,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,72.23,5200.56,Yes
5311-IHLEI,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),82.59,1238.85,No
5170-PTRKA,Female,0,Yes,No,17,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,64.09,1089.53,Yes
0725-CXOTM,Male,0,No,No,11,Yes,No,DSL,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,36.32,399.52,No
6131-IUNXN,Male,0,No,No,37,Yes,No,No,No,Yes,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),77.56,2869.72,No
7305-ZWMAJ,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,75.53,3172.26,No
8357-EQXFO,Male,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.13,3256.41,No
9700-ZCLOT,Male,0,No,No,26,Yes,No,No,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,474.5,Yes
7465-ZZRVX,Female,0,No,No,0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),27.24,0.0,Yes
1936-CZAKF,Male,0,Yes,No,40,Yes,No,No,Yes,No,No,No,No internet service,No,Month-to-month,No,Mailed check,88.59,3543.6,No
7147-AYBAA,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.66,3172.96,No
5628-FCGYG,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Two year,No,Credit card (automatic),18.25,602.25,Yes
7767-UXAGJ,Male,0,No,No,29,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,One year,Yes,Electronic check,58.93,1708.97,No
5392-AKEMH,Male,0,Yes,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,65.77,3025.42,No
6161-ERDGD,Male,0,Yes,No,67,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),83.64,5603.88,Yes
8149-AIQCG,Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,77.44,2323.2,No
2889-FPWRM,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,75.72,0.0,No
0447-BEMNG,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,41.1,739.8,No
9850-OWRHQ,Male,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,511.0,No
1596-OQSPS,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,No,Electronic check,45.66,0.0,Yes
9734-UYXQI,Male,0,No,Yes,51,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.52,5381.52,Yes
2685-SREOM,Male,0,Yes,Yes,13,Yes,No phone service,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.58,241.54,No
0181-RITDD,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),91.12,4009.28,Yes
3597-MVHJT,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,Yes,One year,No,Electronic check,18.91,699.67,No
5482-NUPNA,Male,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.84,596.16,No
9415-TPKRV,Male,0,No,No,72,No,No,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),67.2,4838.4,No
5606-AMZBO,Female,0,Yes,No,18,No,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,One year,Yes,Electronic check,39.39,709.02,No
0277-ORXQS,Male,0,Yes,No,15,No,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,56.64,849.6,No
4291-HYEBC,Female,0,No,No,39,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Credit card (automatic),29.18,1138.02,Yes
1501-SGHBW,Male,0,No,Yes,53,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,67.88,3597.64,Yes
3451-VAWLI,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,89.63,2868.16,No
8383-SGHJU,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,19.78,158.24,No
8914-RBTSB,Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),80.28,3933.72,No
4568-TTZRT,Female,0,No,No,47,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.16,3532.52,No
8443-ZRDBZ,Male,0,No,No,72,No,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.5,6300.0,Yes
8868-GAGIO,Female,0,No,No,26,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,18.25,474.5,No
5593-SUAOO,Female,0,No,No,37,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),90.81,3359.97,No
5061-PBXFW,Male,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.92,520.56,No
4193-ORFCL,Male,0,Yes,Yes,0,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,56.14,0.0,No
2810-FTLEM,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,50.29,1709.86,No
8372-JUXUI,Male,0,No,No,53,Yes,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,32.98,1747.94,No
4291-SHSBH,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,37.58,263.06,No
1841-YSJGV,Female,0,No,Yes,15,Yes,Yes,No,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,41.65,624.75,Yes
1394-SUIUH,Female,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,68.71,206.13,Yes
2403-BCASL,Male,0,Yes,No,65,Yes,No,No,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.47,5555.55,No
1591-XWLGB,Female,0,Yes,No,16,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),54.58,873.28,No
2519-TWKFS,Male,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,Two year,Yes,Credit card (automatic),87.14,4008.44,Yes
8513-OLYGY,Male,0,Yes,No,11,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),68.03,748.33,No
2519-FAKOD,Female,0,Yes,Yes,34,Yes,No,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),98.03,3333.02,No
3976-NLDEZ,Female,0,Yes,No,17,No,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),23.59,401.03,Yes
8111-SLLHI,Male,0,No,No,0,Yes,No,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.83,0.0,No
1237-WIYYZ,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),62.15,2113.1,No
4369-NYSCF,Male,0,No,No,45,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.51,3037.95,Yes
7780-OTDSO,Male,0,No,No,0,Yes,No,DSL,No internet service,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),73.98,0.0,No
